time,gFx,gFy,gFz,TgF
0.006223,0.1133,0.4173,0.8465,0.951
0.006624,0.1294,0.4215,0.8309,0.941
0.006800,0.1457,0.4196,0.8267,0.938
0.006967,0.1264,0.4188,0.8267,0.935
0.007094,0.1384,0.4244,0.8143,0.929
0.007242,0.1362,0.4217,0.8092,0.923
0.007403,0.1331,0.4337,0.8067,0.926
0.019072,0.1161,0.4173,0.8167,0.925
0.019460,0.0939,0.4244,0.8255,0.933
0.019628,0.0737,0.4184,0.8343,0.936
0.019776,0.0602,0.4073,0.8505,0.945
0.019879,0.0231,0.4066,0.8817,0.971
0.021881,0.0140,0.4073,0.8917,0.980
0.036637,-0.0035,0.4070,0.9243,1.010
0.036933,-0.0079,0.4100,0.9387,1.024
0.037230,-0.0257,0.4103,0.9602,1.045
0.037349,-0.0338,0.4086,0.9788,1.061
0.037444,-0.0397,0.4124,0.9886,1.072
0.037573,-0.0369,0.4124,0.9917,1.075
0.037822,-0.0367,0.4063,1.0022,1.082
0.040219,-0.0369,0.4100,1.0112,1.092
0.042895,-0.0406,0.4105,1.0054,1.087
0.045189,-0.0245,0.4115,0.9858,1.069
0.047773,-0.0169,0.4186,0.9812,1.067
0.050122,-0.0074,0.4105,0.9805,1.063
0.052743,0.0040,0.4149,0.9541,1.040
0.056026,0.0199,0.4176,0.9483,1.036
0.057798,0.0264,0.4205,0.9304,1.021
0.060262,0.0231,0.4159,0.9245,1.014
0.062739,0.0401,0.4124,0.8930,0.984
0.065168,0.0367,0.4203,0.8871,0.982
0.067695,0.0536,0.4110,0.8693,0.963
0.070193,0.0543,0.4132,0.8742,0.968
0.072713,0.0607,0.4103,0.8578,0.953
0.075390,0.0592,0.4046,0.8558,0.948
0.077749,0.0702,0.4093,0.8563,0.952
0.080294,0.0707,0.4032,0.8544,0.947
0.082791,0.0721,0.4014,0.8478,0.941
0.085202,0.0781,0.3927,0.8478,0.938
0.090430,0.0741,0.4044,0.8544,0.948
0.090740,0.0783,0.3934,0.8583,0.947
0.092766,0.0756,0.3914,0.8654,0.953
0.095397,0.0788,0.3932,0.8812,0.968
0.097798,0.0858,0.3934,0.8791,0.967
0.100275,0.0802,0.3858,0.8832,0.967
0.102813,0.0819,0.3888,0.9071,0.990
0.105422,0.0802,0.3780,0.9103,0.989
0.107852,0.0844,0.3716,0.9167,0.993
0.110268,0.0783,0.3758,0.9231,1.000
0.112709,0.0788,0.3627,0.9282,1.000
0.115194,0.0663,0.3685,0.9329,1.005
0.117689,0.0639,0.3636,0.9387,1.009
0.120202,0.0632,0.3616,0.9458,1.015
0.122919,0.0590,0.3531,0.9460,1.011
0.125323,0.0555,0.3699,0.9543,1.025
0.127857,0.0514,0.3555,0.9565,1.022
0.130288,0.0380,0.3592,0.9595,1.025
0.132985,0.0423,0.3487,0.9663,1.028
0.135216,0.0369,0.3513,0.9539,1.017
0.138729,0.0260,0.3516,0.9714,1.033
0.140317,0.0274,0.3511,0.9619,1.024
0.143155,0.0287,0.3523,0.9604,1.023
0.145308,0.0255,0.3509,0.9651,1.027
0.147762,0.0299,0.3604,0.9611,1.027
0.150294,0.0282,0.3580,0.9623,1.027
0.152892,0.0231,0.3574,0.9668,1.031
0.155395,0.0329,0.3555,0.9611,1.025
0.157901,0.0228,0.3695,0.9688,1.037
0.160315,0.0287,0.3606,0.9658,1.031
0.163384,0.0306,0.3680,0.9719,1.040
0.165257,0.0385,0.3692,0.9768,1.045
0.167796,0.0277,0.3667,0.9812,1.048
0.170247,0.0289,0.3739,0.9768,1.046
0.172871,0.0336,0.3746,0.9741,1.044
0.175298,0.0387,0.3623,0.9851,1.050
0.177813,0.0318,0.3716,0.9786,1.047
0.180236,0.0455,0.3641,0.9866,1.053
0.182834,0.0343,0.3727,0.9832,1.052
0.185296,0.0369,0.3695,0.9824,1.050
0.190567,0.0338,0.3776,0.9795,1.050
0.190842,0.0318,0.3723,0.9758,1.045
0.192850,0.0326,0.3685,0.9707,1.039
0.195838,0.0374,0.3729,0.9678,1.038
0.197941,0.0287,0.3707,0.9565,1.026
0.200285,0.0390,0.3778,0.9546,1.027
0.202762,0.0348,0.3802,0.9467,1.021
0.205426,0.0350,0.3758,0.9385,1.012
0.207842,0.0416,0.3699,0.9257,0.998
0.210355,0.0367,0.3772,0.9164,0.992
0.212969,0.0289,0.3824,0.9087,0.986
0.215330,0.0394,0.3767,0.9177,0.993
0.217774,0.0413,0.3937,0.9018,0.985
0.220381,0.0369,0.3870,0.9006,0.981
0.223013,0.0514,0.3958,0.8898,0.975
0.225431,0.0341,0.3902,0.8798,0.963
0.227921,0.0487,0.3973,0.8849,0.971
0.230432,0.0480,0.4037,0.8820,0.971
0.232875,0.0362,0.4042,0.8788,0.968
0.235521,0.0462,0.3970,0.8773,0.964
0.238559,0.0406,0.3961,0.8810,0.967
