time,gFx,gFy,gFz,TgF
0.012114,-0.0805,0.3404,0.8544,0.923
0.012674,-0.0768,0.3326,0.8639,0.929
0.013094,-0.0663,0.3301,0.8824,0.945
0.013444,-0.0607,0.3301,0.8982,0.959
0.013766,-0.0580,0.3457,0.9133,0.978
0.014177,-0.0483,0.3429,0.9267,0.989
0.014596,-0.0416,0.3448,0.9387,1.001
0.014929,-0.0367,0.3518,0.9602,1.023
0.015255,-0.0458,0.3634,0.9641,1.031
0.015594,-0.0360,0.3680,0.9776,1.045
0.015924,-0.0331,0.3785,0.9707,1.042
0.016247,-0.0336,0.3832,0.9976,1.069
0.016587,-0.0257,0.3748,0.9981,1.066
0.016935,-0.0345,0.3734,1.0010,1.069
0.017258,-0.0250,0.3834,0.9996,1.071
0.017709,-0.0450,0.3876,0.9949,1.069
0.018044,-0.0394,0.3841,1.0056,1.077
0.023996,-0.0467,0.3785,1.0010,1.071
0.024584,-0.0509,0.3629,1.0177,1.082
0.024816,-0.0534,0.3638,1.0105,1.075
0.028189,-0.0639,0.3599,1.0073,1.072
0.028612,-0.0580,0.3574,1.0077,1.071
0.038748,-0.0597,0.3513,1.0024,1.064
0.039232,-0.0688,0.3429,0.9991,1.059
0.039518,-0.0678,0.3523,0.9966,1.059
0.039731,-0.0768,0.3387,0.9919,1.051
0.040978,-0.0827,0.3420,1.0000,1.060
0.045276,-0.0807,0.3303,0.9914,1.048
0.045988,-0.0866,0.3340,0.9998,1.058
0.049106,-0.0868,0.3336,0.9949,1.053
0.051310,-0.0783,0.3374,0.9973,1.056
0.053714,-0.0839,0.3426,0.9879,1.049
0.056252,-0.0854,0.3445,0.9870,1.049
0.060674,-0.0846,0.3423,0.9866,1.048
0.061144,-0.0868,0.3536,0.9873,1.052
0.063721,-0.0868,0.3578,0.9900,1.056
0.066314,-0.0783,0.3404,0.9870,1.047
0.068836,-0.0737,0.3518,0.9866,1.050
0.071109,-0.0751,0.3472,0.9868,1.049
0.077368,-0.0656,0.3523,0.9802,1.044
0.077962,-0.0770,0.3665,0.9707,1.040
0.078536,-0.0734,0.3506,0.9778,1.041
0.081210,-0.0707,0.3534,0.9778,1.042
0.083600,-0.0676,0.3604,0.9616,1.029
0.086034,-0.0623,0.3604,0.9665,1.033
0.088646,-0.0641,0.3655,0.9580,1.027
0.092439,-0.0676,0.3653,0.9572,1.027
0.093938,-0.0741,0.3646,0.9539,1.024
0.096130,-0.0724,0.3653,0.9487,1.019
0.099320,-0.0678,0.3650,0.9413,1.012
0.101205,-0.0585,0.3565,0.9443,1.011
0.104107,-0.0681,0.3562,0.9336,1.002
0.106465,-0.0653,0.3653,0.9320,1.003
0.109156,-0.0646,0.3467,0.9367,1.001
0.111452,-0.0663,0.3604,0.9374,1.007
0.113769,-0.0758,0.3529,0.9233,0.991
0.116799,-0.0695,0.3445,0.9413,1.005
0.118830,-0.0716,0.3482,0.9397,1.005
0.121329,-0.0697,0.3543,0.9343,1.002
0.125861,-0.0741,0.3399,0.9357,0.998
0.126501,-0.0653,0.3480,0.9380,1.003
0.128894,-0.0741,0.3565,0.9399,1.008
0.131568,-0.0753,0.3469,0.9318,0.997
0.133942,-0.0761,0.3448,0.9287,0.994
0.136715,-0.0883,0.3497,0.9184,0.987
0.139888,-0.0741,0.3482,0.9147,0.982
0.148204,-0.0758,0.3513,0.9213,0.989
0.148974,-0.0805,0.3545,0.9289,0.997
0.149284,-0.0700,0.3585,0.9147,0.985
0.149551,-0.0785,0.3531,0.9157,0.985
0.151109,-0.0795,0.3494,0.9194,0.987
0.153540,-0.0781,0.3545,0.9096,0.979
0.156411,-0.0724,0.3521,0.9057,0.974
0.159204,-0.0668,0.3504,0.9052,0.973
0.161396,-0.0709,0.3474,0.9138,0.980
0.163975,-0.0770,0.3441,0.9297,0.994
0.166523,-0.0672,0.3489,0.9274,0.993
0.168822,-0.0685,0.3511,0.9326,0.999
0.171379,-0.0651,0.3504,0.9289,0.995
0.175265,-0.0565,0.3548,0.9429,1.009
0.176346,-0.0592,0.3504,0.9507,1.015
0.178953,-0.0604,0.3472,0.9480,1.011
0.181480,-0.0702,0.3543,0.9604,1.026
0.183890,-0.0665,0.3504,0.9578,1.022
0.186335,-0.0595,0.3513,0.9565,1.021
0.188756,-0.0658,0.3464,0.9567,1.020
0.191766,-0.0597,0.3548,0.9487,1.015
0.193782,-0.0678,0.3452,0.9514,1.014
0.196533,-0.0727,0.3436,0.9681,1.030
0.199348,-0.0697,0.3482,0.9716,1.034
0.201289,-0.0692,0.3413,0.9768,1.037
0.204072,-0.0672,0.3423,0.9685,1.029
0.206351,-0.0690,0.3443,0.9788,1.040
0.211206,-0.0776,0.3420,0.9741,1.035
0.211730,-0.0672,0.3482,0.9781,1.040
0.214525,-0.0597,0.3450,0.9714,1.033
0.216790,-0.0688,0.3509,0.9734,1.037
0.219175,-0.0614,0.3516,0.9834,1.046
0.221540,-0.0644,0.3509,0.9714,1.035
0.225639,-0.0619,0.3529,0.9741,1.038
0.226899,-0.0560,0.3452,0.9809,1.041
0.228779,-0.0602,0.3485,0.9690,1.031
0.231645,-0.0534,0.3418,0.9729,1.033
0.234031,-0.0576,0.3513,0.9641,1.028
0.236301,-0.0651,0.3455,0.9709,1.033
0.239031,-0.0587,0.3489,0.9585,1.022
0.242180,-0.0592,0.3516,0.9660,1.030
0.244156,-0.0623,0.3455,0.9685,1.030
0.246529,-0.0616,0.3460,0.9665,1.028
0.249099,-0.0595,0.3469,0.9651,1.027
0.251450,-0.0565,0.3516,0.9597,1.024
0.253853,-0.0492,0.3433,0.9614,1.022
0.259458,-0.0567,0.3492,0.9499,1.014
0.260246,-0.0546,0.3416,0.9670,1.027
0.261363,-0.0555,0.3513,0.9712,1.034
0.264278,-0.0623,0.3531,0.9700,1.034
0.266456,-0.0485,0.3489,0.9600,1.023
0.268951,-0.0597,0.3445,0.9585,1.020
0.271423,-0.0551,0.3482,0.9585,1.021
0.275105,-0.0627,0.3438,0.9565,1.018
0.276601,-0.0632,0.3499,0.9472,1.012
0.279308,-0.0558,0.3392,0.9474,1.008
0.281731,-0.0700,0.3371,0.9507,1.011
0.284205,-0.0668,0.3413,0.9426,1.005
0.286928,-0.0609,0.3371,0.9413,1.002
